��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3152052,2022-10-12 11:58:35,GOOD,0-3152052,43.08428,5.96721
0-3152052,2022-10-12 11:53:35,GOOD,0-3152052,43.08621,5.96815
0-3152052,2022-10-12 11:48:34,GOOD,0-3152052,43.08921,5.97023
0-3152052,2022-10-12 11:43:37,GOOD,0-3152052,43.08892,5.97103
0-3152052,2022-10-12 11:38:36,GOOD,0-3152052,43.08864,5.97186
0-3152052,2022-10-12 11:33:39,GOOD,0-3152052,43.08831,5.9727
0-3152052,2022-10-12 11:28:39,GOOD,0-3152052,43.08804,5.97345
0-3152052,2022-10-12 11:23:41,GOOD,0-3152052,43.08766,5.97431
0-3152052,2022-10-12 11:18:43,GOOD,0-3152052,43.08735,5.97515
0-3152052,2022-10-12 11:13:43,GOOD,0-3152052,43.08709,5.97584
0-3152052,2022-10-12 11:08:40,GOOD,0-3152052,43.0866,5.97676
0-3152052,2022-10-12 11:03:42,GOOD,0-3152052,43.08635,5.97753
0-3152052,2022-10-12 10:58:43,GOOD,0-3152052,43.08585,5.97858
0-3152052,2022-10-12 10:53:42,GOOD,0-3152052,43.08558,5.97937
0-3152052,2022-10-12 10:48:40,GOOD,0-3152052,43.08513,5.98027
0-3152052,2022-10-12 10:43:44,GOOD,0-3152052,43.08469,5.98109
0-3152052,2022-10-12 10:38:44,GOOD,0-3152052,43.0843,5.98186
0-3152052,2022-10-12 10:33:44,GOOD,0-3152052,43.08396,5.98255
0-3152052,2022-10-12 10:28:41,GOOD,0-3152052,43.08357,5.98339
0-3152052,2022-10-12 10:27:03,GOOD,0-3152052,43.0835,5.98358
0-3152052,2022-10-12 10:18:43,GOOD,0-3152052,43.08281,5.9848
0-3152052,2022-10-12 10:14:03,GOOD,0-3152052,43.08245,5.98547
0-3152052,2022-10-12 10:08:38,GOOD,0-3152052,43.08224,5.98603
0-3152052,2022-10-12 10:03:40,GOOD,0-3152052,43.08193,5.98673
0-3152052,2022-10-12 09:58:39,GOOD,0-3152052,43.08161,5.98736
0-3152052,2022-10-12 09:53:41,GOOD,0-3152052,43.08138,5.98798
0-3152052,2022-10-12 09:48:39,GOOD,0-3152052,43.08105,5.98862
0-3152052,2022-10-12 09:43:41,GOOD,0-3152052,43.08076,5.98916
0-3152052,2022-10-12 09:38:39,GOOD,0-3152052,43.08044,5.98976
0-3152052,2022-10-12 09:33:40,GOOD,0-3152052,43.08019,5.9904
0-3152052,2022-10-12 09:28:38,GOOD,0-3152052,43.07999,5.99111
0-3152052,2022-10-12 09:23:39,GOOD,0-3152052,43.0797,5.99156
0-3152052,2022-10-12 09:18:38,GOOD,0-3152052,43.07973,5.99227
0-3152052,2022-10-12 09:13:57,GOOD,0-3152052,43.07959,5.99289
0-3152052,2022-10-12 09:08:40,GOOD,0-3152052,43.07944,5.99358
0-3152052,2022-10-12 09:03:39,GOOD,0-3152052,43.0794,5.99416
0-3152052,2022-10-12 08:58:40,GOOD,0-3152052,43.07937,5.99474
0-3152052,2022-10-12 08:53:38,GOOD,0-3152052,43.07933,5.9954
0-3152052,2022-10-12 08:48:36,GOOD,0-3152052,43.07935,5.99602
0-3152052,2022-10-12 08:43:36,GOOD,0-3152052,43.07935,5.99662
0-3152052,2022-10-12 08:38:42,GOOD,0-3152052,43.07935,5.99725
0-3152052,2022-10-12 08:33:43,GOOD,0-3152052,43.0794,5.99778
0-3152052,2022-10-12 08:28:45,GOOD,0-3152052,43.07952,5.99823
0-3152052,2022-10-12 08:23:46,GOOD,0-3152052,43.07967,5.99873
0-3152052,2022-10-12 08:18:49,GOOD,0-3152052,43.07984,5.99933
0-3152052,2022-10-12 08:14:33,GOOD,0-3152052,43.08041,5.99926
0-3152052,2022-10-12 08:09:33,GOOD,0-3152052,43.08041,5.99943
0-3152052,2022-10-12 08:03:52,GOOD,0-3152052,43.0782,5.98768
0-3152052,2022-10-12 07:58:50,GOOD,0-3152052,43.0785,5.98444
0-3152052,2022-10-12 07:53:49,GOOD,0-3152052,43.07704,5.97253
0-3152052,2022-10-12 07:48:49,GOOD,0-3152052,43.0773,5.97296
0-3152052,2022-10-12 07:43:49,GOOD,0-3152052,43.07764,5.97004
0-3152052,2022-10-12 07:38:52,GOOD,0-3152052,43.08277,5.95448
0-3152052,2022-10-12 07:33:52,GOOD,0-3152052,43.08703,5.93878
0-3152052,2022-10-12 07:28:52,GOOD,0-3152052,43.08815,5.92385
0-3152052,2022-10-12 07:23:51,GOOD,0-3152052,43.09793,5.918
0-3152052,2022-10-12 07:18:51,GOOD,0-3152052,43.10398,5.90761
0-3152052,2022-10-12 07:13:50,GOOD,0-3152052,43.10549,5.89412
0-3152052,2022-10-12 07:11:09,GOOD,0-3152052,43.10464,5.88829
